Energy Loss	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
0.2612	1529.8938	2328.5877	1324.9323	792.6942	703.3331	1175.6854	1424.5106	1506.2353	2168.7722	567.5936
0.27	1120.6316	1037.8465	1147.6358	575.6044	1147.5031	1064.8551	1498.4872	652.094	964.9466	373.6912
0.2788	642.6382	1303.2588	1678.7621	1291.0088	800.1653	1995.2456	49.9949	1088.5815	417.0385	399.8745
0.2876	248.2134	1267.7361	853.9718	1240.3942	934.813	1630.5684	800.9931	1779.0921	534.7368	1080.3417
0.2964	739.6462	1101.0341	929.8446	1555.381	779.4251	1519.8367	911.9012	1943.7977	1132.8379	1096.3747
0.3052	771.6202	1958.1967	1266.8299	1984.1263	746.1603	1459.8926	1518.8545	1423.1982	651.3055	555.8726
0.314	781.1664	1357.377	1197.4483	1876.6744	1413.2311	1529.6206	1009.0155	1500.7072	886.7603	2300.9805
0.3228	601.4476	1976.9593	1551.4247	1660.1865	1769.1742	1071.6193	2143.0021	3056.4672	731.9638	1980.7565
0.3316	860.6666	1279.3908	1337.3373	1362.0496	1942.8439	1102.5909	1882.3711	2195.1203	52.3462	1222.2416
0.3404	1938.3676	696.7708	2018.5718	1084.6158	1858.486	1590.0399	1203.4153	1517.8733	281.6441	1277.8136
0.3492	2442.3386	850.488	2547.069	1730.3145	1240.0709	2445.0832	352.2644	1542.777	847.3499	1439.1869
0.358	2800.976	1305.2121	1984.7586	1627.5573	1681.6797	2718.1952	1441.0253	2899.0468	1909.4523	2427.9633
0.3668	4114.125	2838.7423	2032.7977	3073.1808	2326.6094	2526.0142	2246.0878	3217.6721	3237.8878	3659.3997
0.3756	5156.441	3977.831	3412.2441	3843.5549	3490.981	3171.7621	3466.3129	3965.3526	4371.9698	3926.1824
0.3844	5325.1806	4344.9778	4091.9197	3923.6102	2693.613	3345.7692	4106.3058	3726.8148	4661.4863	3467.3887
0.3932	4155.8059	3571.9285	3326.8192	3501.6385	3437.8995	3082.1106	3808.1037	2661.1244	4072.7064	3258.5352
0.4021	2654.4845	2130.6318	2614.1305	2568.0694	3080.6041	2494.7594	1916.279	1384.3851	2793.2211	2706.4431
0.4109	1262.7638	1287.2486	1753.8238	2236.2077	3006.4168	2080.18	1068.5913	1225.9408	1776.7214	2781.147
0.4197	1187.1788	1802.9705	2232.7825	1760.8368	1507.94	1924.5094	1597.8745	252.4265	1112.4937	1980.2606
0.4285	494.4701	1654.9884	1339.667	1473.3516	1125.3167	1335.8861	2002.6554	899.7318	1106.4834	1244.1293
0.4373	1177.0787	1136.8284	1213.3595	1099.0233	1678.2044	1171.2178	1248.2833	942.3707	997.1309	1360.389
0.4461	1572.7182	1419.5968	1860.4619	548.881	1826.6687	731.5679	1700.8393	718.7314	1042.4003	858.1533
0.4549	1234.8848	1785.3724	1739.8626	1137.1489	1955.3359	1042.096	1674.3416	367.3692	658.9491	313.6173
0.4637	1602.4255	935.799	1326.9241	370.9174	830.039	1232.2338	1452.1454	343.0442	1005.602	409.1041
0.4725	1552.6102	1257.7007	2005.648	563.4616	148.8783	359.6301	1086.7923	720.2867	918.106	14.7049
0.4813	1268.3907	1716.1515	1659.7442	675.6949	552.6138	715.1068	889.7976	216.5616	449.1665	710.3771
0.4901	1499.6	1126.3611	1427.6367	160.1527	442.9257	986.8627	500.0096	500.4372	1397.4507	1309.6974
0.4989	735.3671	1333.8259	1394.9334	960.8722	820.3858	472.4267	0	1203.5546	1639.8344	1146.1774
0.5077	1112.5285	2509.9301	1160.0259	894.7896	2044.985	745.702	50.3387	2173.1106	907.4897	821.9535
0.5165	1088.78	1751.3983	1038.0568	1130.2326	1271.4047	867.6502	338.4244	1432.4416	374.6094	977.9864
0.5253	947.7005	438.9628	708.5691	1437.0338	653.6397	848.2585	268.4045	1167.6456	290.5035	621.9368
0.5341	814.6998	0	1849.7287	1070.3689	1014.9516	1823.7411	0	901.9924	1412.2683	957.8024
0.5429	1759.4627	974.2368	1694.465	1397.6243	1509.5721	1228.0805	586.9656	1223.8785	1543.9529	2345.0473
0.5517	2708.2963	1570.5951	2114.1638	2413.0873	1852.7687	1563.9827	1247.0688	1975.3791	2150.1321	2856.2827
0.5605	4165.0141	2589.9533	3592.4277	3109.8409	3380.7234	3111.2449	2128.4017	3505.6845	2865.8206	3714.0059
0.5693	4165.27	3554.2052	3585.732	3900.0382	3990.4816	3642.8131	2093.8728	3519.4602	3566.8357	3419.1737
0.5781	3292.1065	3459.4814	4350.5643	3578.5369	4685.7188	2931.7757	2118.1854	3303.3483	2772.1743	3138.3699
0.5869	2196.2882	2759.7982	3205.9585	2260.858	2909.8189	1255.8575	2178.4475	2801.6469	2104.1148	3179.3834
0.5957	2300.1265	4104.9342	1315.7298	4186.0864	1925.2538	865.1417	1993.8749	1723.3514	1408.3346	1738.8286
0.6045	2242.7403	4406.4379	1081.4913	4084.3198	2116.6972	1269.1851	2184.8908	1409.4362	1339.321	2253.384
0.6133	1676.5048	2477.4835	845.0573	2595.2753	1398.5875	482.1588	1459.1572	1158.0852	1117.0332	1347.3134
0.6221	1055.901	1940.883	674.1947	1396.8167	1040.916	306.682	1263.0569	1617.5421	1006.3675	847.7547
0.6309	821.0466	2502.2883	663.8614	1300.6391	1449.2553	410.0273	1184.4583	1390.6098	1197.0945	1226.4564
0.6397	1026.1556	1299.6637	670.9636	2850.293	1136.2107	679.1647	741.8036	2179.7439	1311.2671	2219.0513
0.6485	984.8327	1517.1461	1279.634	2417.9318	554.5228	2536.1529	864.7833	2175.8457	1344.6012	2401.7663
0.6573	569.1773	1711.5995	1026.436	2318.0591	1115.5036	2168.8108	298.8523	1394.4656	1586.9089	1726.1454
0.6661	814.4592	1478.8966	1014.8411	1727.1218	1196.4761	818.085	1007.2912	939.6689	1294.2408	1542.3004
0.6749	862.4656	1921.9102	1242.6217	1876.5816	950.4362	922.1049	1755.3555	1368.7713	1937.6893	744.6717
0.6837	2664.3888	2420.8711	2021.5657	1156.7997	631.9558	1859.0025	1561.6026	761.3121	1434.0869	719.2403
0.6925	1882.3054	1987.2399	1829.3173	1855.9632	1516.5198	1836.5218	1267.5006	1716.236	1512.7627	775.3709
0.7013	1191.972	1533.6072	1805.5821	1710.8085	1308.801	1525.3868	1065.9141	887.0709	726.8912	1034.4844
0.7101	932.2456	1104.5596	966.02	1621.5351	1663.1902	1330.7797	1843.7738	1003.4804	947.6357	891.1751
0.7189	1341.8329	1449.177	1586.1584	2311.8733	1094.6499	933.9206	2196.2016	1039.6322	1483.812	793.5246
0.7278	2100.2035	1537.6059	1939.5191	2614.271	1020.7957	1673.6679	1865.9693	1075.7295	1817.8975	1063.8252
0.7366	3239.5815	2560.6103	2847.655	2814.3264	2351.628	1937.1155	1997.3302	2397.7751	3144.1992	1900.3663
0.7454	3653.2767	2739.7594	2382.1811	4062.4123	2710.7257	3110.9723	2417.7145	2438.0445	3613.0948	1959.5071
0.7542	3227.9882	2627.4259	1993.0979	4231.4222	2249.1276	3037.5654	2590.864	1900.1299	3338.4864	2412.152
0.763	2574.0967	1776.513	2494.3866	3231.9765	1934.3151	1954.2266	2560.7784	2576.9809	2002.7692	3115.5616
